Sessio;Hahmo;Noppien määrä;Noppa;Noppien silmäluvut
3.2;Julia;1;d20;9
3.2;Julia;1;d20;16
3.2;Jaska;2;d20;13, 15
3.2;Julia;2;d20;16, 19
3.2;Jaska;1;d20;9
3.2;Jaska;1;d20;6
3.2;Jaska;1;d20;15
3.2;Jaska;1;d20;19
3.2;Jaska;2;d20;7, 13
3.2;Jaska;1;d20;20
3.2;Jaska;1;d20;10
3.2;Jaska;1;d20;11
3.2;Jaska;1;d20;7
3.2;Jaska;1;d20;11
3.2;Jaska;2;d20;1, 6
3.2;Jaska;2;d20;8, 9
3.2;Julia;1;d20;1
3.3;Jaska;1;d20;17
3.3;Jaska;1;d20;5
3.3;Jaska;1;d20;8
3.3;Jaska;1;d20;3
3.3;Jaska;1;d20;9
3.3;Jaska;1;d20;19
3.3;Jaska;1;d20;1
3.3;Jaska;1;d20;20
3.3;Jaska;2;d20;11, 12
3.3;Jaska;1;d20;18
3.3;Jaska;1;d20;3
3.3;Jaska;1;d20;9
3.3;Jaska;1;d20;15
3.3;Jaska;1;d20;2
3.3;Jaska;1;d20;3
3.3;Jaska;1;d20;16
3.3;Jaska;1;d20;15
3.4;Jaska;1;d20;14
3.4;Jaska;1;d20;18
3.4;Jaska;1;d20;17
3.4;Jaska;1;d20;16
3.4;Jaska;1;d20;19
3.4;Jaska;1;d20;2
3.4;Jaska;1;d20;9
3.4;Jaska;1;d20;7
3.4;Jaska;1;d20;10
3.4;Jaska;1;d20;10
3.4;Jaska;1;d20;13
3.4;Jaska;2;d20;10, 11
3.4;Jaska;1;d20;2
3.4;Jaska;2;d20;3, 20
3.4;Jaska;1;d20;7
3.4;Jaska;1;d20;10
3.4;Jaska;1;d20;4, 9
3.4;Jaska;1;d20;10
3.4;Jaska;1;d20;4
3.4;Jaska;1;d20;17
3.4;Jaska;1;d20;17
3.4;Jaska;1;d20;18
3.4;Jaska;1;d20;14
3.4;Jaska;1;d20;11
3.4;Jaska;1;d20;20
3.4;Jaska;1;d20;18
3.4;Jaska;1;d20;5
3.4;Jaska;1;d20;14
3.4;Jaska;1;d20;18
3.4;Jaska;1;d20;14
3.4;Jaska;1;d20;6
3.4;Jaska;1;d20;9
3.4;Jaska;1;d20;2
3.4;Jaska;1;d20;7
3.4;Jaska;2;d20;11, 13
3.4;Jaska;2;d20;4, 15
3.4;Jaska;1;d20;17
3.4;Jaska;1;d20;6
3.4;Jaska;1;d20;4
3.4;Jaska;1;d20;6
3.4;Jaska;1;d20;4
3.4;Jaska;1;d20;20
3.4;Jaska;1;d20;16
3.4;Jaska;1;d20;10
3.4;Jaska;1;d20;9
3.4;Jaska;2;d20;9, 10
3.4;Jaska;1;d20;10
3.4;Jaska;2;d20;3, 9
3.4;Jaska;1;d20;10
3.4;Jaska;2;d20;17, 20
3.4;Säkki;2;d20;17, 20
3.4;Jaska;1;d20;17
3.4;Jaska;1;d20;2, 15
3.4;Jaska;1;d20;6
3.4;Jaska;2;d20;4,11
3.4;Jaska;2;d20;2, 10
3.4;Jaska;2;d20;10, 18
3.4;Jaska;2;d20;4, 5
