"Vuosineljännes";"Postinumero";"Huoneluku";"Lukumäärä";"Neliövuokra (eur/m2)"
"2015Q1";"00200 Lauttasaari   (Helsinki )";"Kaksiot";225;13.89
"2015Q1";"00200 Lauttasaari   (Helsinki )";"Kolmiot+";45;14.24
"2015Q1";"00210 Vattuniemi   (Helsinki )";"Yksiöt";50;21.15
"2015Q1";"00210 Vattuniemi   (Helsinki )";"Kaksiot";41;16.11
"2015Q1";"00210 Vattuniemi   (Helsinki )";"Kolmiot+";.;.
"2015Q1";"00220 Jätkäsaari   (Helsinki )";"Yksiöt";.;.
"2015Q1";"00220 Jätkäsaari   (Helsinki )";"Kaksiot";.;.
"2015Q1";"00220 Jätkäsaari   (Helsinki )";"Kolmiot+";.;.
"2015Q1";"00240 Länsi-Pasila   (Helsinki )";"Yksiöt";.;.
"2015Q1";"00240 Länsi-Pasila   (Helsinki )";"Kaksiot";23;10.99
"2015Q1";"00240 Länsi-Pasila   (Helsinki )";"Kolmiot+";.;.
"2015Q1";"00250 Taka-Töölö   (Helsinki )";"Yksiöt";365;25.27
"2015Q1";"00250 Taka-Töölö   (Helsinki )";"Kaksiot";206;16.45
"2015Q1";"00250 Taka-Töölö   (Helsinki )";"Kolmiot+";26;13.40
"2015Q1";"00260 Keski-Töölö   (Helsinki )";"Yksiöt";123;24.54
"2015Q1";"00260 Keski-Töölö   (Helsinki )";"Kaksiot";77;19.06
"2015Q1";"00260 Keski-Töölö   (Helsinki )";"Kolmiot+";.;.
"2015Q1";"00270 Pohjois-Meilahti   (Helsinki )";"Yksiöt";193;25.44
"2015Q1";"00270 Pohjois-Meilahti   (Helsinki )";"Kaksiot";136;14.67
"2015Q1";"00270 Pohjois-Meilahti   (Helsinki )";"Kolmiot+";.;.
"2015Q1";"00280 Ruskeasuo   (Helsinki )";"Yksiöt";36;23.41
"2015Q1";"00280 Ruskeasuo   (Helsinki )";"Kaksiot";37;13.77
"2015Q1";"00280 Ruskeasuo   (Helsinki )";"Kolmiot+";.;.
"2015Q1";"00300 Pikku Huopalahti   (Helsinki )";"Yksiöt";.;.
"2015Q1";"00300 Pikku Huopalahti   (Helsinki )";"Kaksiot";.;.
"2015Q1";"00300 Pikku Huopalahti   (Helsinki )";"Kolmiot+";.;.
"2015Q1";"00310 Kivihaka   (Helsinki )";"Yksiöt";.;.
"2015Q1";"00310 Kivihaka   (Helsinki )";"Kaksiot";.;.
"2015Q1";"00310 Kivihaka   (Helsinki )";"Kolmiot+";.;.
"2015Q1";"00320 Etelä-Haaga   (Helsinki )";"Yksiöt";317;23.34
"2015Q1";"00320 Etelä-Haaga   (Helsinki )";"Kaksiot";133;14.39
"2015Q1";"00320 Etelä-Haaga   (Helsinki )";"Kolmiot+";25;11.34
"2015Q1";"00330 Munkkiniemi   (Helsinki )";"Yksiöt";130;23.42
"2015Q1";"00330 Munkkiniemi   (Helsinki )";"Kaksiot";85;15.14
"2015Q1";"00330 Munkkiniemi   (Helsinki )";"Kolmiot+";42;15.45
"2015Q1";"00340 Kuusisaari-Lehtisaari   (Helsinki )";"Yksiöt";.;.
"2015Q1";"00340 Kuusisaari-Lehtisaari   (Helsinki )";"Kaksiot";.;.
"2015Q1";"00340 Kuusisaari-Lehtisaari   (Helsinki )";"Kolmiot+";.;.
"2015Q1";"00350 Munkkivuori-Niemenmäki   (Helsinki )";"Yksiöt";277;25.26
"2015Q1";"00350 Munkkivuori-Niemenmäki   (Helsinki )";"Kaksiot";155;17.46
"2015Q1";"00350 Munkkivuori-Niemenmäki   (Helsinki )";"Kolmiot+";.;.
"2015Q1";"00360 Pajamäki   (Helsinki )";"Yksiöt";53;23.59
"2015Q1";"00360 Pajamäki   (Helsinki )";"Kaksiot";27;16.93
"2015Q1";"00360 Pajamäki   (Helsinki )";"Kolmiot+";.;.
"2015Q1";"00370 Reimarla   (Helsinki )";"Yksiöt";42;21.79
"2015Q1";"00370 Reimarla   (Helsinki )";"Kaksiot";.;.
"2015Q1";"00370 Reimarla   (Helsinki )";"Kolmiot+";.;.
"2015Q1";"00380 Pitäjänmäen teollisuusalue   (Helsinki )";"Yksiöt";.;.
"2015Q1";"00380 Pitäjänmäen teollisuusalue   (Helsinki )";"Kaksiot";.;.
"2015Q1";"00380 Pitäjänmäen teollisuusalue   (Helsinki )";"Kolmiot+";.;.
"2015Q1";"00390 Konala   (Helsinki )";"Yksiöt";83;20.80
"2015Q1";"00390 Konala   (Helsinki )";"Kaksiot";110;16.90
"2015Q1";"00390 Konala   (Helsinki )";"Kolmiot+";.;.
"2015Q1";"00400 Pohjois-Haaga   (Helsinki )";"Yksiöt";149;24.37
"2015Q1";"00400 Pohjois-Haaga   (Helsinki )";"Kaksiot";78;13.41
"2015Q1";"00400 Pohjois-Haaga   (Helsinki )";"Kolmiot+";.;.
"2015Q1";"00410 Malminkartano   (Helsinki )";"Yksiöt";.;.
"2015Q1";"00410 Malminkartano   (Helsinki )";"Kaksiot";24;12.67
"2015Q1";"00410 Malminkartano   (Helsinki )";"Kolmiot+";.;.
"2015Q1";"00420 Kannelmäki   (Helsinki )";"Yksiöt";214;20.49
"2015Q1";"00420 Kannelmäki   (Helsinki )";"Kaksiot";207;15.14
"2015Q1";"00420 Kannelmäki   (Helsinki )";"Kolmiot+";.;.
"2015Q1";"00430 Maununneva   (Helsinki )";"Yksiöt";.;.
"2015Q1";"00430 Maununneva   (Helsinki )";"Kaksiot";.;.
"2015Q1";"00430 Maununneva   (Helsinki )";"Kolmiot+";.;.
"2015Q1";"00440 Lassila   (Helsinki )";"Yksiöt";58;19.78
"2015Q1";"00440 Lassila   (Helsinki )";"Kaksiot";69;16.12
"2015Q1";"00440 Lassila   (Helsinki )";"Kolmiot+";.;.
"2015Q1";"00500 Sörnäinen   (Helsinki )";"Yksiöt";851;23.84
"2015Q1";"00500 Sörnäinen   (Helsinki )";"Kaksiot";322;17.95
"2015Q1";"00500 Sörnäinen   (Helsinki )";"Kolmiot+";.;.
"2015Q1";"00510 Etu-Vallila - Alppila   (Helsinki )";"Yksiöt";443;22.33
"2015Q1";"00510 Etu-Vallila - Alppila   (Helsinki )";"Kaksiot";118;13.22
"2015Q1";"00510 Etu-Vallila - Alppila   (Helsinki )";"Kolmiot+";.;.
"2015Q1";"00520 Itä-Pasila   (Helsinki )";"Yksiöt";122;22.30
"2015Q1";"00520 Itä-Pasila   (Helsinki )";"Kaksiot";.;.
"2015Q1";"00520 Itä-Pasila   (Helsinki )";"Kolmiot+";.;.
"2015Q1";"00530 Kallio   (Helsinki )";"Yksiöt";759;22.86
"2015Q1";"00530 Kallio   (Helsinki )";"Kaksiot";310;15.59
"2015Q1";"00530 Kallio   (Helsinki )";"Kolmiot+";98;14.89
"2015Q1";"00550 Vallila   (Helsinki )";"Yksiöt";187;21.14
"2015Q1";"00550 Vallila   (Helsinki )";"Kaksiot";126;14.94
"2015Q1";"00550 Vallila   (Helsinki )";"Kolmiot+";.;.
"2015Q1";"00560 Toukola-Vanhakaupunki   (Helsinki )";"Yksiöt";61;21.55
"2015Q1";"00560 Toukola-Vanhakaupunki   (Helsinki )";"Kaksiot";128;19.51
"2015Q1";"00560 Toukola-Vanhakaupunki   (Helsinki )";"Kolmiot+";.;.
"2015Q1";"00570 Kulosaari   (Helsinki )";"Yksiöt";62;21.33
"2015Q1";"00570 Kulosaari   (Helsinki )";"Kaksiot";46;16.51
"2015Q1";"00570 Kulosaari   (Helsinki )";"Kolmiot+";20;14.93
"2015Q1";"00580 Verkkosaari   (Helsinki )";"Yksiöt";.;.
"2015Q1";"00580 Verkkosaari   (Helsinki )";"Kaksiot";.;.
"2015Q1";"00580 Verkkosaari   (Helsinki )";"Kolmiot+";.;.
"2015Q1";"00600 Koskela-Helsinki   (Helsinki )";"Yksiöt";.;.
"2015Q1";"00600 Koskela-Helsinki   (Helsinki )";"Kaksiot";.;.
"2015Q1";"00600 Koskela-Helsinki   (Helsinki )";"Kolmiot+";.;.
"2015Q1";"00610 Käpylä   (Helsinki )";"Yksiöt";53;19.47
"2015Q1";"00610 Käpylä   (Helsinki )";"Kaksiot";57;13.74
"2015Q1";"00610 Käpylä   (Helsinki )";"Kolmiot+";.;.
"2015Q1";"00620 Metsälä-Etelä-Oulunkylä   (Helsinki )";"Yksiöt";.;.
"2015Q1";"00620 Metsälä-Etelä-Oulunkylä   (Helsinki )";"Kaksiot";31;12.57
"2015Q1";"00620 Metsälä-Etelä-Oulunkylä   (Helsinki )";"Kolmiot+";.;.
"2015Q1";"00630 Maunula-Suursuo   (Helsinki )";"Yksiöt";68;20.44
"2015Q1";"00630 Maunula-Suursuo   (Helsinki )";"Kaksiot";41;15.48
"2015Q1";"00630 Maunula-Suursuo   (Helsinki )";"Kolmiot+";.;.
"2015Q1";"00640 Oulunkylä-Patola   (Helsinki )";"Yksiöt";81;19.74
"2015Q1";"00640 Oulunkylä-Patola   (Helsinki )";"Kaksiot";89;14.65
"2015Q1";"00640 Oulunkylä-Patola   (Helsinki )";"Kolmiot+";.;.
"2015Q1";"00650 Veräjämäki   (Helsinki )";"Yksiöt";.;.
"2015Q1";"00650 Veräjämäki   (Helsinki )";"Kaksiot";.;.
"2015Q1";"00650 Veräjämäki   (Helsinki )";"Kolmiot+";.;.
"2015Q1";"00700 Malmi   (Helsinki )";"Yksiöt";69;19.84
"2015Q1";"00700 Malmi   (Helsinki )";"Kaksiot";107;16.03
"2015Q1";"00700 Malmi   (Helsinki )";"Kolmiot+";37;13.53
"2015Q1";"00710 Pihlajamäki   (Helsinki )";"Yksiöt";120;17.66
"2015Q1";"00710 Pihlajamäki   (Helsinki )";"Kaksiot";107;14.04
"2015Q1";"00710 Pihlajamäki   (Helsinki )";"Kolmiot+";.;.
"2015Q1";"00720 Pukinmäki-Savela   (Helsinki )";"Yksiöt";54;19.22
"2015Q1";"00720 Pukinmäki-Savela   (Helsinki )";"Kaksiot";48;14.08
"2015Q1";"00720 Pukinmäki-Savela   (Helsinki )";"Kolmiot+";36;15.55
"2015Q1";"00730 Tapanila   (Helsinki )";"Yksiöt";31;18.89
"2015Q1";"00730 Tapanila   (Helsinki )";"Kaksiot";49;15.21
"2015Q1";"00730 Tapanila   (Helsinki )";"Kolmiot+";.;.
"2015Q1";"00740 Siltamäki   (Helsinki )";"Yksiöt";33;16.99
"2015Q1";"00740 Siltamäki   (Helsinki )";"Kaksiot";.;.
"2015Q1";"00740 Siltamäki   (Helsinki )";"Kolmiot+";.;.
"2015Q1";"00750 Puistola   (Helsinki )";"Yksiöt";.;.
"2015Q1";"00750 Puistola   (Helsinki )";"Kaksiot";.;.
"2015Q1";"00750 Puistola   (Helsinki )";"Kolmiot+";.;.
"2015Q1";"00760 Suurmetsä   (Helsinki )";"Yksiöt";.;.
"2015Q1";"00760 Suurmetsä   (Helsinki )";"Kaksiot";.;.
"2015Q1";"00760 Suurmetsä   (Helsinki )";"Kolmiot+";.;.
"2015Q1";"00770 Jakomäki - Alppikylä   (Helsinki )";"Yksiöt";.;.
"2015Q1";"00770 Jakomäki - Alppikylä   (Helsinki )";"Kaksiot";.;.
"2015Q1";"00770 Jakomäki - Alppikylä   (Helsinki )";"Kolmiot+";.;.
"2015Q1";"00780 Tapaninvainio   (Helsinki )";"Yksiöt";.;.
"2015Q1";"00780 Tapaninvainio   (Helsinki )";"Kaksiot";.;.
"2015Q1";"00780 Tapaninvainio   (Helsinki )";"Kolmiot+";.;.
"2015Q1";"00790 Viikki   (Helsinki )";"Yksiöt";.;.
"2015Q1";"00790 Viikki   (Helsinki )";"Kaksiot";32;13.59
"2015Q1";"00790 Viikki   (Helsinki )";"Kolmiot+";.;.
"2015Q1";"00800 Länsi-Herttoniemi   (Helsinki )";"Yksiöt";71;21.42
"2015Q1";"00800 Länsi-Herttoniemi   (Helsinki )";"Kaksiot";40;13.58
"2015Q1";"00800 Länsi-Herttoniemi   (Helsinki )";"Kolmiot+";.;.
"2015Q1";"00810 Herttoniemi   (Helsinki )";"Yksiöt";31;20.12
"2015Q1";"00810 Herttoniemi   (Helsinki )";"Kaksiot";54;14.64
"2015Q1";"00810 Herttoniemi   (Helsinki )";"Kolmiot+";28;15.10
"2015Q1";"00820 Roihuvuori   (Helsinki )";"Yksiöt";113;22.50
"2015Q1";"00820 Roihuvuori   (Helsinki )";"Kaksiot";103;15.49
"2015Q1";"00820 Roihuvuori   (Helsinki )";"Kolmiot+";.;.
"2015Q1";"00840 Laajasalo   (Helsinki )";"Yksiöt";91;19.91
"2015Q1";"00840 Laajasalo   (Helsinki )";"Kaksiot";55;14.51
"2015Q1";"00840 Laajasalo   (Helsinki )";"Kolmiot+";.;.
"2015Q1";"00870 Etelä-Laajasalo   (Helsinki )";"Yksiöt";.;.
"2015Q1";"00870 Etelä-Laajasalo   (Helsinki )";"Kaksiot";.;.
"2015Q1";"00870 Etelä-Laajasalo   (Helsinki )";"Kolmiot+";.;.
"2015Q1";"00900 Puotinharju   (Helsinki )";"Yksiöt";50;20.32
"2015Q1";"00900 Puotinharju   (Helsinki )";"Kaksiot";30;14.02
"2015Q1";"00900 Puotinharju   (Helsinki )";"Kolmiot+";.;.
"2015Q1";"00910 Puotila   (Helsinki )";"Yksiöt";131;20.66
"2015Q1";"00910 Puotila   (Helsinki )";"Kaksiot";152;17.14
"2015Q1";"00910 Puotila   (Helsinki )";"Kolmiot+";.;.
"2015Q1";"00920 Myllypuro   (Helsinki )";"Yksiöt";41;20.65
"2015Q1";"00920 Myllypuro   (Helsinki )";"Kaksiot";104;15.02
"2015Q1";"00920 Myllypuro   (Helsinki )";"Kolmiot+";32;14.14
"2015Q1";"00930 Itäkeskus-Marjaniemi   (Helsinki )";"Yksiöt";.;.
"2015Q1";"00930 Itäkeskus-Marjaniemi   (Helsinki )";"Kaksiot";.;.
"2015Q1";"00930 Itäkeskus-Marjaniemi   (Helsinki )";"Kolmiot+";.;.
"2015Q1";"00940 Kontula - Vesala   (Helsinki )";"Yksiöt";189;20.24
"2015Q1";"00940 Kontula - Vesala   (Helsinki )";"Kaksiot";257;14.95
"2015Q1";"00940 Kontula - Vesala   (Helsinki )";"Kolmiot+";.;.
"2015Q1";"00950 Vartioharju   (Helsinki )";"Yksiöt";.;.
"2015Q1";"00950 Vartioharju   (Helsinki )";"Kaksiot";.;.
"2015Q1";"00950 Vartioharju   (Helsinki )";"Kolmiot+";.;.
"2015Q1";"00960 Pohjois-Vuosaari   (Helsinki )";"Yksiöt";83;18.12
"2015Q1";"00960 Pohjois-Vuosaari   (Helsinki )";"Kaksiot";102;14.55
"2015Q1";"00960 Pohjois-Vuosaari   (Helsinki )";"Kolmiot+";.;.
"2015Q1";"00970 Mellunmäki   (Helsinki )";"Yksiöt";58;18.58
"2015Q1";"00970 Mellunmäki   (Helsinki )";"Kaksiot";68;13.29
"2015Q1";"00970 Mellunmäki   (Helsinki )";"Kolmiot+";26;13.23
"2015Q1";"00980 Etelä-Vuosaari   (Helsinki )";"Yksiöt";52;19.06
"2015Q1";"00980 Etelä-Vuosaari   (Helsinki )";"Kaksiot";.;.
"2015Q1";"00980 Etelä-Vuosaari   (Helsinki )";"Kolmiot+";90;15.90
"2015Q1";"00990 Aurinkolahti   (Helsinki )";"Yksiöt";38;22.55
"2015Q1";"00990 Aurinkolahti   (Helsinki )";"Kaksiot";113;19.74
"2015Q1";"00990 Aurinkolahti   (Helsinki )";"Kolmiot+";.;.
"2016Q4";"20760 Piispanristi   (Kaarina )";"Kaksiot";.;.
"2016Q4";"20760 Piispanristi   (Kaarina )";"Kolmiot+";.;.
"2016Q4";"20780 Kaarina Keskus   (Kaarina )";"Yksiöt";51;12.41
"2016Q4";"20780 Kaarina Keskus   (Kaarina )";"Kaksiot";105;10.24
"2016Q4";"20780 Kaarina Keskus   (Kaarina )";"Kolmiot+";54;9.44
"2016Q4";"20810 Martti-Korppolaismäki   (Turku )";"Yksiöt";352;16.06
"2016Q4";"20810 Martti-Korppolaismäki   (Turku )";"Kaksiot";297;11.63
"2016Q4";"20810 Martti-Korppolaismäki   (Turku )";"Kolmiot+";74;10.96
"2016Q4";"20880 Uittamo   (Turku )";"Yksiöt";69;14.46
"2016Q4";"20880 Uittamo   (Turku )";"Kaksiot";38;10.21
"2016Q4";"20880 Uittamo   (Turku )";"Kolmiot+";.;.
"2016Q4";"20900 Moikoinen-Pikisaari   (Turku )";"Yksiöt";.;.
"2016Q4";"20900 Moikoinen-Pikisaari   (Turku )";"Kaksiot";.;.
"2016Q4";"20900 Moikoinen-Pikisaari   (Turku )";"Kolmiot+";36;10.94
"2016Q4";"21100 Naantali Keskus   (Naantali )";"Yksiöt";59;12.84
"2016Q4";"21100 Naantali Keskus   (Naantali )";"Kaksiot";49;10.40
"2016Q4";"21100 Naantali Keskus   (Naantali )";"Kolmiot+";.;.
"2016Q4";"21110 Taimo-Nuhjala-Lietsala   (Naantali )";"Yksiöt";.;.
"2016Q4";"21110 Taimo-Nuhjala-Lietsala   (Naantali )";"Kaksiot";.;.
"2016Q4";"21110 Taimo-Nuhjala-Lietsala   (Naantali )";"Kolmiot+";.;.
"2016Q4";"21200 Raisio Keskus   (Raisio )";"Yksiöt";132;13.46
"2016Q4";"21200 Raisio Keskus   (Raisio )";"Kaksiot";146;10.88
"2016Q4";"21200 Raisio Keskus   (Raisio )";"Kolmiot+";68;10.30
"2016Q4";"21250 Masku   (Masku )";"Yksiöt";.;.
"2016Q4";"21250 Masku   (Masku )";"Kaksiot";.;.
"2016Q4";"21250 Masku   (Masku )";"Kolmiot+";.;.
"2016Q4";"21380 Aura Keskus   (Aura )";"Yksiöt";.;.
"2016Q4";"21380 Aura Keskus   (Aura )";"Kaksiot";.;.
"2016Q4";"21380 Aura Keskus   (Aura )";"Kolmiot+";.;.
"2016Q4";"21420 Lieto Keskus   (Lieto )";"Yksiöt";.;.
"2016Q4";"21420 Lieto Keskus   (Lieto )";"Kaksiot";.;.
"2016Q4";"21420 Lieto Keskus   (Lieto )";"Kolmiot+";.;.
"2016Q4";"21500 Piikkiö   (Kaarina )";"Yksiöt";.;.
"2016Q4";"21500 Piikkiö   (Kaarina )";"Kaksiot";.;.
"2016Q4";"21500 Piikkiö   (Kaarina )";"Kolmiot+";.;.
"2016Q4";"21530 Paimio Keskus   (Paimio )";"Yksiöt";61;11.76
"2016Q4";"21530 Paimio Keskus   (Paimio )";"Kaksiot";40;9.22
"2016Q4";"21530 Paimio Keskus   (Paimio )";"Kolmiot+";22;9.19
"2016Q4";"21600 Parainen Keskus   (Parainen )";"Yksiöt";21;12.26
"2016Q4";"21600 Parainen Keskus   (Parainen )";"Kaksiot";.;.
"2016Q4";"21600 Parainen Keskus   (Parainen )";"Kolmiot+";.;.
"2016Q4";"21800 Kyrö   (Pöytyä )";"Yksiöt";.;.
"2016Q4";"21800 Kyrö   (Pöytyä )";"Kaksiot";.;.
"2016Q4";"21800 Kyrö   (Pöytyä )";"Kolmiot+";.;.
"2016Q4";"23100 Mynämäki Keskus   (Mynämäki )";"Yksiöt";.;.
"2016Q4";"23100 Mynämäki Keskus   (Mynämäki )";"Kaksiot";23;9.16
"2016Q4";"23100 Mynämäki Keskus   (Mynämäki )";"Kolmiot+";.;.
"2016Q4";"23500 Uusikaupunki Keskus   (Uusikaupunki )";"Yksiöt";61;11.26
"2016Q4";"23500 Uusikaupunki Keskus   (Uusikaupunki )";"Kaksiot";54;9.31
"2016Q4";"23500 Uusikaupunki Keskus   (Uusikaupunki )";"Kolmiot+";23;9.09
"2016Q4";"23800 Laitila Keskus   (Laitila )";"Yksiöt";.;.
"2016Q4";"23800 Laitila Keskus   (Laitila )";"Kaksiot";35;9.12
"2016Q4";"23800 Laitila Keskus   (Laitila )";"Kolmiot+";.;.
"2016Q4";"24100 Salo Keskus   (Salo )";"Yksiöt";113;13.04
"2016Q4";"24100 Salo Keskus   (Salo )";"Kaksiot";78;9.85
"2016Q4";"24100 Salo Keskus   (Salo )";"Kolmiot+";31;9.12
"2016Q4";"24130 Ylhäisi   (Salo )";"Yksiöt";.;.
"2016Q4";"24130 Ylhäisi   (Salo )";"Kaksiot";.;.
"2016Q4";"24130 Ylhäisi   (Salo )";"Kolmiot+";.;.
"2016Q4";"24240 Rappula   (Salo )";"Yksiöt";56;12.45
"2016Q4";"24240 Rappula   (Salo )";"Kaksiot";29;9.25
"2016Q4";"24240 Rappula   (Salo )";"Kolmiot+";.;.
"2016Q4";"24260 Ollikkala   (Salo )";"Yksiöt";37;11.40
"2016Q4";"24260 Ollikkala   (Salo )";"Kaksiot";56;9.54
"2016Q4";"24260 Ollikkala   (Salo )";"Kolmiot+";.;.
"2016Q4";"24800 Halikko Keskus   (Salo )";"Yksiöt";31;11.21
"2016Q4";"24800 Halikko Keskus   (Salo )";"Kaksiot";34;9.33
"2016Q4";"24800 Halikko Keskus   (Salo )";"Kolmiot+";.;.
"2016Q4";"26100 Rauma Keskus   (Rauma )";"Yksiöt";216;12.75
"2016Q4";"26100 Rauma Keskus   (Rauma )";"Kaksiot";213;9.59
"2016Q4";"26100 Rauma Keskus   (Rauma )";"Kolmiot+";63;8.81
"2016Q4";"26200 Merirauma-Kappelinluhta   (Rauma )";"Yksiöt";.;.
"2016Q4";"26200 Merirauma-Kappelinluhta   (Rauma )";"Kaksiot";22;9.11
"2016Q4";"26200 Merirauma-Kappelinluhta   (Rauma )";"Kolmiot+";.;.
"2016Q4";"26660 Paroalho   (Rauma )";"Yksiöt";41;11.71
"2016Q4";"26660 Paroalho   (Rauma )";"Kaksiot";31;9.33
"2016Q4";"26660 Paroalho   (Rauma )";"Kolmiot+";.;.
"2016Q4";"27510 Eura Keskus   (Eura )";"Yksiöt";.;.
"2016Q4";"27510 Eura Keskus   (Eura )";"Kaksiot";.;.
"2016Q4";"27510 Eura Keskus   (Eura )";"Kolmiot+";.;.
"2016Q4";"28100 Pori Keskus   (Pori )";"Yksiöt";471;14.07
"2016Q4";"28100 Pori Keskus   (Pori )";"Kaksiot";378;10.65
"2016Q4";"28100 Pori Keskus   (Pori )";"Kolmiot+";110;9.94
"2016Q4";"28120 Käppärä-Isomäki   (Pori )";"Yksiöt";39;12.01
"2016Q4";"28120 Käppärä-Isomäki   (Pori )";"Kaksiot";53;10.43
"2016Q4";"28120 Käppärä-Isomäki   (Pori )";"Kolmiot+";.;.
"2016Q4";"28130 Impola   (Pori )";"Yksiöt";176;14.08
"2016Q4";"28130 Impola   (Pori )";"Kaksiot";222;10.06
"2016Q4";"28130 Impola   (Pori )";"Kolmiot+";84;9.25
"2016Q4";"28190 Pormestarinluoto   (Pori )";"Yksiöt";62;11.63
"2016Q4";"28190 Pormestarinluoto   (Pori )";"Kaksiot";116;8.99
"2016Q4";"28190 Pormestarinluoto   (Pori )";"Kolmiot+";34;8.84
"2016Q4";"28330 Koivistonluoto   (Pori )";"Yksiöt";42;11.02
"2016Q4";"28330 Koivistonluoto   (Pori )";"Kaksiot";47;8.67
"2016Q4";"28330 Koivistonluoto   (Pori )";"Kolmiot+";21;8.65
"2016Q4";"28360 Vanhakoivisto   (Pori )";"Yksiöt";26;12.94
"2016Q4";"28360 Vanhakoivisto   (Pori )";"Kaksiot";.;.
"2016Q4";"28360 Vanhakoivisto   (Pori )";"Kolmiot+";.;.
"2016Q4";"28370 Sampola   (Pori )";"Yksiöt";56;11.55
"2016Q4";"28370 Sampola   (Pori )";"Kaksiot";117;8.71
"2016Q4";"28370 Sampola   (Pori )";"Kolmiot+";.;.
"2016Q4";"28400 Ulvila Keskus   (Ulvila )";"Yksiöt";20;11.31
"2016Q4";"28400 Ulvila Keskus   (Ulvila )";"Kaksiot";24;8.89
"2016Q4";"28400 Ulvila Keskus   (Ulvila )";"Kolmiot+";.;.
"2016Q4";"28500 Keskussairaala-alue-Tiilimäki   (Pori )";"Yksiöt";.;.
"2016Q4";"28500 Keskussairaala-alue-Tiilimäki   (Pori )";"Kaksiot";.;.
"2016Q4";"28500 Keskussairaala-alue-Tiilimäki   (Pori )";"Kolmiot+";.;.
"2016Q4";"28600 Vähärauma   (Pori )";"Yksiöt";.;.
"2016Q4";"28600 Vähärauma   (Pori )";"Kaksiot";26;9.31
"2016Q4";"28600 Vähärauma   (Pori )";"Kolmiot+";.;.
"2016Q4";"28610 Musa-Tiiliruukki   (Pori )";"Yksiöt";62;13.31
"2016Q4";"28610 Musa-Tiiliruukki   (Pori )";"Kaksiot";50;9.99
"2016Q4";"28610 Musa-Tiiliruukki   (Pori )";"Kolmiot+";.;.
"2016Q4";"28800 Pihlava   (Pori )";"Yksiöt";.;.
"2016Q4";"28800 Pihlava   (Pori )";"Kaksiot";36;8.08
"2016Q4";"28800 Pihlava   (Pori )";"Kolmiot+";.;.
"2016Q4";"29200 Harjavalta Keskus   (Harjavalta )";"Yksiöt";33;10.51
"2016Q4";"29200 Harjavalta Keskus   (Harjavalta )";"Kaksiot";43;8.35
"2016Q4";"29200 Harjavalta Keskus   (Harjavalta )";"Kolmiot+";24;7.51
"2016Q4";"29250 Nakkila Keskus   (Nakkila )";"Yksiöt";24;11.37
"2016Q4";"29250 Nakkila Keskus   (Nakkila )";"Kaksiot";.;.
"2016Q4";"29250 Nakkila Keskus   (Nakkila )";"Kolmiot+";.;.
"2016Q4";"29600 Noormarkku Keskus   (Pori )";"Yksiöt";.;.
"2016Q4";"29600 Noormarkku Keskus   (Pori )";"Kaksiot";.;.
"2016Q4";"29600 Noormarkku Keskus   (Pori )";"Kolmiot+";.;.
