toimipaikka;osasto;vuosi;kuukausi;kävijöitä
Tikkurilan kirjasto;lapset;2007;4;13293
Tikkurilan kirjasto;lapset;2007;5;13792
Tikkurilan kirjasto;lapset;2007;6;13050
Tikkurilan kirjasto;lapset;2007;7;14474
Tikkurilan kirjasto;lapset;2007;8;14560
Tikkurilan kirjasto;lapset;2007;9;15630
Tikkurilan kirjasto;lapset;2007;10;16661
Tikkurilan kirjasto;lapset;2007;11;14362
Tikkurilan kirjasto;lapset;2007;12;11372
Hiekkaharjun kirjasto;;2007;1;556
Hiekkaharjun kirjasto;;2007;2;511
Hiekkaharjun kirjasto;;2007;3;518
Hiekkaharjun kirjasto;;2007;4;418
Hiekkaharjun kirjasto;;2007;5;430
Hiekkaharjun kirjasto;;2007;6;0
Hiekkaharjun kirjasto;;2007;7;0
Hiekkaharjun kirjasto;;2007;8;528
Hiekkaharjun kirjasto;;2007;9;539
Hiekkaharjun kirjasto;;2007;10;600
Hiekkaharjun kirjasto;;2007;11;573
Hiekkaharjun kirjasto;;2007;12;423
Koivukylän kirjasto;;2007;1;14228
Koivukylän kirjasto;;2007;2;13937
Koivukylän kirjasto;;2007;3;19174
Koivukylän kirjasto;;2007;4;12600
Koivukylän kirjasto;;2007;5;13843
Koivukylän kirjasto;;2007;6;10511
Koivukylän kirjasto;;2007;7;9861
Koivukylän kirjasto;;2007;8;12880
Koivukylän kirjasto;;2007;9;14428
Koivukylän kirjasto;;2007;10;15210
Koivukylän kirjasto;;2007;11;16002
Koivukylän kirjasto;;2007;12;12115
Lumon kirjasto (Korso);;2007;1;21243
Lumon kirjasto (Korso);;2007;2;17627
Lumon kirjasto (Korso);;2007;3;23050
Lumon kirjasto (Korso);;2007;4;17322
Lumon kirjasto (Korso);;2007;5;18673
Lumon kirjasto (Korso);;2007;6;14491
Lumon kirjasto (Korso);;2007;7;13656
Lumon kirjasto (Korso);;2007;8;19611
Lumon kirjasto (Korso);;2007;9;20781
Lumon kirjasto (Korso);;2007;10;22173
Lumon kirjasto (Korso);;2007;11;20253
Lumon kirjasto (Korso);;2007;12;15783
Mikkolan kirjasto;;2007;1;6878
Mikkolan kirjasto;;2007;2;5483
Mikkolan kirjasto;;2007;3;7266
Mikkolan kirjasto;;2007;4;6316
Mikkolan kirjasto;;2007;5;6170
Mikkolan kirjasto;;2007;6;5592
Mikkolan kirjasto;;2007;7;3000
Mikkolan kirjasto;;2007;8;5335
Mikkolan kirjasto;;2007;9;6419
Mikkolan kirjasto;;2007;10;7116
Mikkolan kirjasto;;2007;11;6675
Mikkolan kirjasto;;2007;12;4702
Pointin kirjasto (Pakkala);;2007;1;10674
Pointin kirjasto (Pakkala);;2007;2;8922
Pointin kirjasto (Pakkala);;2007;3;11056
Pointin kirjasto (Pakkala);;2007;4;10051
Pointin kirjasto (Pakkala);;2007;5;10955
Pointin kirjasto (Pakkala);;2007;6;6111
Pointin kirjasto (Pakkala);;2007;7;6273
Pointin kirjasto (Pakkala);;2007;8;10578
Pointin kirjasto (Pakkala);;2007;9;12380
Pointin kirjasto (Pakkala);;2007;10;15312
Pointin kirjasto (Pakkala);;2007;11;11313
Pointin kirjasto (Pakkala);;2007;12;8329
Myyrmäen kirjasto;;2007;1;38158
Myyrmäen kirjasto;;2007;2;36593
Myyrmäen kirjasto;;2007;3;13890
Myyrmäen kirjasto;;2007;4;10132
Myyrmäen kirjasto;;2007;5;10862
Myyrmäen kirjasto;;2007;6;22257
Myyrmäen kirjasto;;2007;7;15352
Myyrmäen kirjasto;;2007;8;34733
Myyrmäen kirjasto;;2007;9;34432
Myyrmäen kirjasto;;2007;10;38493
Myyrmäen kirjasto;;2007;11;35170
Myyrmäen kirjasto;;2007;12;28161
Martinlaakson kirjasto;;2007;1;13677
Martinlaakson kirjasto;;2007;2;11992
Martinlaakson kirjasto;;2007;3;19362
Martinlaakson kirjasto;;2007;4;15184
Martinlaakson kirjasto;;2007;5;16126
Martinlaakson kirjasto;;2007;6;12079
Martinlaakson kirjasto;;2007;7;11863
Martinlaakson kirjasto;;2007;8;12508
Martinlaakson kirjasto;;2007;9;13073
Martinlaakson kirjasto;;2007;10;14268
Martinlaakson kirjasto;;2007;11;13126
Martinlaakson kirjasto;;2007;12;10173
Pähkinärinteen kirjasto;;2007;1;4413
Pähkinärinteen kirjasto;;2007;2;4045
Pähkinärinteen kirjasto;;2007;3;4108
Pähkinärinteen kirjasto;;2007;4;3320
Pähkinärinteen kirjasto;;2007;5;3411
Pähkinärinteen kirjasto;;2007;6;3172
Pähkinärinteen kirjasto;;2007;7;0
Pähkinärinteen kirjasto;;2007;8;4192
Pähkinärinteen kirjasto;;2007;9;4278
Pähkinärinteen kirjasto;;2007;10;4759
Pähkinärinteen kirjasto;;2007;11;4545
Pähkinärinteen kirjasto;;2007;12;3359
Kirjastoautot;;2007;1;6463
Kirjastoautot;;2007;2;5924
Kirjastoautot;;2007;3;6016
Kirjastoautot;;2007;4;4862
Kirjastoautot;;2007;5;4996
Kirjastoautot;;2007;6;4646
Kirjastoautot;;2007;7;0
Kirjastoautot;;2007;8;6139
Kirjastoautot;;2007;9;6266
Kirjastoautot;;2007;10;6969
Kirjastoautot;;2007;11;6656
Kirjastoautot;;2007;12;4919
Hakunilan kirjasto;;2008;1;16570
Hakunilan kirjasto;;2008;2;15610
Hakunilan kirjasto;;2008;3;14510
Hakunilan kirjasto;;2008;4;15800
Hakunilan kirjasto;;2008;5;15600
Hakunilan kirjasto;;2008;6;12400
Hakunilan kirjasto;;2008;7;11960
Hakunilan kirjasto;;2008;8;16260
Hakunilan kirjasto;;2008;9;17350
Hakunilan kirjasto;;2008;10;20400
Hakunilan kirjasto;;2008;11;15000
Hakunilan kirjasto;;2008;12;13640
Pähkinärinteen kirjasto;;2008;1;4305
Pähkinärinteen kirjasto;;2008;2;4192
Pähkinärinteen kirjasto;;2008;3;3941
Pähkinärinteen kirjasto;;2008;4;3979
Pähkinärinteen kirjasto;;2008;5;3564
Pähkinärinteen kirjasto;;2008;6;3170
Pähkinärinteen kirjasto;;2008;7;0
Pähkinärinteen kirjasto;;2008;8;3772
Pähkinärinteen kirjasto;;2008;9;4057
Pähkinärinteen kirjasto;;2008;10;4629
Pähkinärinteen kirjasto;;2008;11;3854
Pähkinärinteen kirjasto;;2008;12;3515
Kirjastoautot;;2008;1;6395
Kirjastoautot;;2008;2;6228
Kirjastoautot;;2008;3;5856
Kirjastoautot;;2008;4;5911
Kirjastoautot;;2008;5;5296
Kirjastoautot;;2008;6;4710
Kirjastoautot;;2008;7;0
Kirjastoautot;;2008;8;5605
Kirjastoautot;;2008;9;6028
Kirjastoautot;;2008;10;6878
Kirjastoautot;;2008;11;5726
Kirjastoautot;;2008;12;5223
Koivukylän kirjasto;;2008;1;15233
Koivukylän kirjasto;;2008;2;16707
Koivukylän kirjasto;;2008;3;16850
Koivukylän kirjasto;;2008;4;15586
Koivukylän kirjasto;;2008;5;14291
Koivukylän kirjasto;;2008;6;10545
Koivukylän kirjasto;;2008;7;10268
Koivukylän kirjasto;;2008;8;10831
Koivukylän kirjasto;;2008;9;12865
Koivukylän kirjasto;;2008;10;16450
Koivukylän kirjasto;;2008;11;11982
Koivukylän kirjasto;;2008;12;12576
Lumon kirjasto (Korso);;2008;1;20541
Lumon kirjasto (Korso);;2008;2;18710
Lumon kirjasto (Korso);;2008;3;19432
Lumon kirjasto (Korso);;2008;4;19989
Lumon kirjasto (Korso);;2008;5;18032
Lumon kirjasto (Korso);;2008;6;13270
Lumon kirjasto (Korso);;2008;7;13770
Lumon kirjasto (Korso);;2008;8;17605
Lumon kirjasto (Korso);;2008;9;19952
Lumon kirjasto (Korso);;2008;10;21486
Lumon kirjasto (Korso);;2008;11;20858
Lumon kirjasto (Korso);;2008;12;16055
Hiekkaharjun kirjasto;;2008;1;633
Hiekkaharjun kirjasto;;2008;2;616
Hiekkaharjun kirjasto;;2008;3;579
Hiekkaharjun kirjasto;;2008;4;585
Hiekkaharjun kirjasto;;2008;5;524
Hiekkaharjun kirjasto;;2008;6;0
Hiekkaharjun kirjasto;;2008;7;0
Hiekkaharjun kirjasto;;2008;8;554
Hiekkaharjun kirjasto;;2008;9;596
Hiekkaharjun kirjasto;;2008;10;680
Hiekkaharjun kirjasto;;2008;11;566
Hiekkaharjun kirjasto;;2008;12;517
Länsimäen kirjasto;;2008;1;7296
Länsimäen kirjasto;;2008;2;6686
Länsimäen kirjasto;;2008;3;5127
Länsimäen kirjasto;;2008;4;6856
Länsimäen kirjasto;;2008;5;5952
Länsimäen kirjasto;;2008;6;4831
Länsimäen kirjasto;;2008;7;4686
Länsimäen kirjasto;;2008;8;6775
Länsimäen kirjasto;;2008;9;6834
Länsimäen kirjasto;;2008;10;8969
Länsimäen kirjasto;;2008;11;6328
Länsimäen kirjasto;;2008;12;5505
Martinlaakson kirjasto;;2008;1;13300
Martinlaakson kirjasto;;2008;2;13181
Martinlaakson kirjasto;;2008;3;12269
Martinlaakson kirjasto;;2008;4;12872
Martinlaakson kirjasto;;2008;5;12230
Martinlaakson kirjasto;;2008;6;10141
Martinlaakson kirjasto;;2008;7;10485
Martinlaakson kirjasto;;2008;8;11485
Martinlaakson kirjasto;;2008;9;12222
Martinlaakson kirjasto;;2008;10;15135
Martinlaakson kirjasto;;2008;11;11657
Martinlaakson kirjasto;;2008;12;10579
Mikkolan kirjasto;;2008;1;5651
Mikkolan kirjasto;;2008;2;5432
Mikkolan kirjasto;;2008;3;5433
Mikkolan kirjasto;;2008;4;6138
Mikkolan kirjasto;;2008;5;4821
Mikkolan kirjasto;;2008;6;2083
Mikkolan kirjasto;;2008;7;335
Mikkolan kirjasto;;2008;8;3938
Mikkolan kirjasto;;2008;9;5687
Mikkolan kirjasto;;2008;10;5340
Mikkolan kirjasto;;2008;11;4605
Mikkolan kirjasto;;2008;12;3691
Myyrmäen kirjasto;;2008;1;38789
Myyrmäen kirjasto;;2008;2;37545
Myyrmäen kirjasto;;2008;3;33666
Myyrmäen kirjasto;;2008;4;30824
Myyrmäen kirjasto;;2008;5;25560
Myyrmäen kirjasto;;2008;6;27410
Myyrmäen kirjasto;;2008;7;31938
Myyrmäen kirjasto;;2008;8;33614
Myyrmäen kirjasto;;2008;9;35031
Myyrmäen kirjasto;;2008;10;42480
Myyrmäen kirjasto;;2008;11;32222
Myyrmäen kirjasto;;2008;12;31064
Pointin kirjasto (Pakkala);;2008;1;10973
Pointin kirjasto (Pakkala);;2008;2;11022
Pointin kirjasto (Pakkala);;2008;3;9651
Pointin kirjasto (Pakkala);;2008;4;10310
Pointin kirjasto (Pakkala);;2008;5;9255
Pointin kirjasto (Pakkala);;2008;6;6570
Pointin kirjasto (Pakkala);;2008;7;6083
Pointin kirjasto (Pakkala);;2008;8;8844
Pointin kirjasto (Pakkala);;2008;9;11414
Pointin kirjasto (Pakkala);;2008;10;10640
Pointin kirjasto (Pakkala);;2008;11;8898
Pointin kirjasto (Pakkala);;2008;12;7868
Tikkurilan kirjasto;aikuiset;2008;1;22357
Tikkurilan kirjasto;aikuiset;2008;2;21195
Tikkurilan kirjasto;aikuiset;2008;3;19265
Tikkurilan kirjasto;aikuiset;2008;4;20794
Tikkurilan kirjasto;aikuiset;2008;5;17832
Tikkurilan kirjasto;aikuiset;2008;6;18123
Tikkurilan kirjasto;aikuiset;2008;7;19582
Tikkurilan kirjasto;aikuiset;2008;8;20555
Tikkurilan kirjasto;aikuiset;2008;9;18905
Tikkurilan kirjasto;aikuiset;2008;10;21305
Tikkurilan kirjasto;aikuiset;2008;11;21276
Tikkurilan kirjasto;aikuiset;2008;12;20126
Tikkurilan kirjasto;musiikki;2008;1;5351
Tikkurilan kirjasto;musiikki;2008;2;4864
Tikkurilan kirjasto;musiikki;2008;3;4959
Tikkurilan kirjasto;musiikki;2008;4;4758
Tikkurilan kirjasto;musiikki;2008;5;3929
Tikkurilan kirjasto;musiikki;2008;6;4325
Tikkurilan kirjasto;musiikki;2008;7;4325
Tikkurilan kirjasto;musiikki;2008;8;4694
Tikkurilan kirjasto;musiikki;2008;9;5071
Tikkurilan kirjasto;musiikki;2008;10;4912
Tikkurilan kirjasto;musiikki;2008;11;5965
Tikkurilan kirjasto;musiikki;2008;12;4380
Tikkurilan kirjasto;lapset;2008;1;13891
Tikkurilan kirjasto;lapset;2008;2;14029
Tikkurilan kirjasto;lapset;2008;3;13136
Tikkurilan kirjasto;lapset;2008;4;14155
Tikkurilan kirjasto;lapset;2008;5;13248
Tikkurilan kirjasto;lapset;2008;6;12811
Tikkurilan kirjasto;lapset;2008;7;12563
Tikkurilan kirjasto;lapset;2008;8;13673
Tikkurilan kirjasto;lapset;2008;9;15145
Tikkurilan kirjasto;lapset;2008;10;16001
Tikkurilan kirjasto;lapset;2008;11;12675
Tikkurilan kirjasto;lapset;2008;12;11904
Hakunilan kirjasto;;2009;1;15900
Hakunilan kirjasto;;2009;2;15100
Hakunilan kirjasto;;2009;3;16800
Hakunilan kirjasto;;2009;4;14700
Hakunilan kirjasto;;2009;5;13800
Hakunilan kirjasto;;2009;6;12809
Hakunilan kirjasto;;2009;7;12800
Hakunilan kirjasto;;2009;8;15900
Hakunilan kirjasto;;2009;9;18200
Hakunilan kirjasto;;2009;10;16800
Hakunilan kirjasto;;2009;11;15600
Hakunilan kirjasto;;2009;12;12000
Hiekkaharjun kirjasto;;2009;1;435
Hiekkaharjun kirjasto;;2009;2;415
Hiekkaharjun kirjasto;;2009;3;485
Hiekkaharjun kirjasto;;2009;4;407
Hiekkaharjun kirjasto;;2009;5;405
Hiekkaharjun kirjasto;;2009;6;0
Hiekkaharjun kirjasto;;2009;7;0
Hiekkaharjun kirjasto;;2009;8;417
Hiekkaharjun kirjasto;;2009;9;473
Hiekkaharjun kirjasto;;2009;10;466
Hiekkaharjun kirjasto;;2009;11;432
Hiekkaharjun kirjasto;;2009;12;381
Pähkinärinteen kirjasto;;2009;1;3550
Pähkinärinteen kirjasto;;2009;2;3375
Pähkinärinteen kirjasto;;2009;3;3942
Pähkinärinteen kirjasto;;2009;4;3309
Pähkinärinteen kirjasto;;2009;5;3294
Pähkinärinteen kirjasto;;2009;6;2951
Pähkinärinteen kirjasto;;2009;7;0
Pähkinärinteen kirjasto;;2009;8;3389
Pähkinärinteen kirjasto;;2009;9;3848
Pähkinärinteen kirjasto;;2009;10;3795
Pähkinärinteen kirjasto;;2009;11;3511
Pähkinärinteen kirjasto;;2009;12;3100
Kirjastoautot;;2009;1;6193
Kirjastoautot;;2009;2;5888
Kirjastoautot;;2009;3;6877
Kirjastoautot;;2009;4;5772
Kirjastoautot;;2009;5;5746
Kirjastoautot;;2009;6;5148
Kirjastoautot;;2009;7;0
Kirjastoautot;;2009;8;5913
Kirjastoautot;;2009;9;6713
Kirjastoautot;;2009;10;6621
Kirjastoautot;;2009;11;6125
Kirjastoautot;;2009;12;5408
Koivukylän kirjasto;;2009;1;11778
Koivukylän kirjasto;;2009;2;12716
Koivukylän kirjasto;;2009;3;13939
Koivukylän kirjasto;;2009;4;11379
Koivukylän kirjasto;;2009;5;13444
Koivukylän kirjasto;;2009;6;11152
Koivukylän kirjasto;;2009;7;12705
Koivukylän kirjasto;;2009;8;10866
Koivukylän kirjasto;;2009;9;12518
Koivukylän kirjasto;;2009;10;12246
Koivukylän kirjasto;;2009;11;11419
Koivukylän kirjasto;;2009;12;12657
Lumon kirjasto (Korso);;2009;1;18424
Lumon kirjasto (Korso);;2009;2;17189
Lumon kirjasto (Korso);;2009;3;21609
Lumon kirjasto (Korso);;2009;4;17110
Lumon kirjasto (Korso);;2009;5;16550
Lumon kirjasto (Korso);;2009;6;13646
Lumon kirjasto (Korso);;2009;7;12937
Lumon kirjasto (Korso);;2009;8;17303
Lumon kirjasto (Korso);;2009;9;21039
Lumon kirjasto (Korso);;2009;10;20993
Lumon kirjasto (Korso);;2009;11;19978
Lumon kirjasto (Korso);;2009;12;19159
Länsimäen kirjasto;;2009;1;5764
Länsimäen kirjasto;;2009;2;5685
Länsimäen kirjasto;;2009;3;7450
Länsimäen kirjasto;;2009;4;6493
Länsimäen kirjasto;;2009;5;7062
Länsimäen kirjasto;;2009;6;5135
Länsimäen kirjasto;;2009;7;5858
Länsimäen kirjasto;;2009;8;5661
Länsimäen kirjasto;;2009;9;6931
Länsimäen kirjasto;;2009;10;7095
Länsimäen kirjasto;;2009;11;5232
Länsimäen kirjasto;;2009;12;5299
Martinlaakson kirjasto;;2009;1;11897
Martinlaakson kirjasto;;2009;2;12076
Martinlaakson kirjasto;;2009;3;13573
Martinlaakson kirjasto;;2009;4;12161
Martinlaakson kirjasto;;2009;5;12462
Martinlaakson kirjasto;;2009;6;10707
Martinlaakson kirjasto;;2009;7;10043
Martinlaakson kirjasto;;2009;8;10817
Martinlaakson kirjasto;;2009;9;12778
Martinlaakson kirjasto;;2009;10;12186
Martinlaakson kirjasto;;2009;11;11867
Martinlaakson kirjasto;;2009;12;10312
Mikkolan kirjasto;;2009;1;4182
Mikkolan kirjasto;;2009;2;3770
Mikkolan kirjasto;;2009;3;5086
Mikkolan kirjasto;;2009;4;4286
Mikkolan kirjasto;;2009;5;3520
Mikkolan kirjasto;;2009;6;1679
Mikkolan kirjasto;;2009;7;352
Mikkolan kirjasto;;2009;8;2752
Mikkolan kirjasto;;2009;9;4214
Mikkolan kirjasto;;2009;10;4317
Mikkolan kirjasto;;2009;11;3718
Mikkolan kirjasto;;2009;12;3240
Myyrmäen kirjasto;;2009;1;34617
Myyrmäen kirjasto;;2009;2;31719
Myyrmäen kirjasto;;2009;3;37837
Myyrmäen kirjasto;;2009;4;29364
Myyrmäen kirjasto;;2009;5;28303
Myyrmäen kirjasto;;2009;6;27061
Myyrmäen kirjasto;;2009;7;30419
Myyrmäen kirjasto;;2009;8;31913
Myyrmäen kirjasto;;2009;9;34807
Myyrmäen kirjasto;;2009;10;34258
Myyrmäen kirjasto;;2009;11;31590
Myyrmäen kirjasto;;2009;12;28441
Pointin kirjasto (Pakkala);;2009;1;8689
Pointin kirjasto (Pakkala);;2009;2;8263
Pointin kirjasto (Pakkala);;2009;3;10836
Pointin kirjasto (Pakkala);;2009;4;8907
Pointin kirjasto (Pakkala);;2009;5;8504
Pointin kirjasto (Pakkala);;2009;6;7373
Pointin kirjasto (Pakkala);;2009;7;6990
Pointin kirjasto (Pakkala);;2009;8;9672
Pointin kirjasto (Pakkala);;2009;9;11990
Pointin kirjasto (Pakkala);;2009;10;12126
Pointin kirjasto (Pakkala);;2009;11;10867
Pointin kirjasto (Pakkala);;2009;12;9036
Tikkurilan kirjasto;aikuiset;2009;1;23224
Tikkurilan kirjasto;aikuiset;2009;2;20616
Tikkurilan kirjasto;aikuiset;2009;3;23285
Tikkurilan kirjasto;aikuiset;2009;4;21923
Tikkurilan kirjasto;aikuiset;2009;5;20472
Tikkurilan kirjasto;aikuiset;2009;6;18435
Tikkurilan kirjasto;aikuiset;2009;7;19881
Tikkurilan kirjasto;aikuiset;2009;8;20103
Tikkurilan kirjasto;aikuiset;2009;9;23359
Tikkurilan kirjasto;aikuiset;2009;10;22159
Tikkurilan kirjasto;aikuiset;2009;11;20333
Tikkurilan kirjasto;aikuiset;2009;12;16888
Tikkurilan kirjasto;musiikki;2009;1;5427
Tikkurilan kirjasto;musiikki;2009;2;5419
Tikkurilan kirjasto;musiikki;2009;3;5929
Tikkurilan kirjasto;musiikki;2009;4;5024
Tikkurilan kirjasto;musiikki;2009;5;4842
Tikkurilan kirjasto;musiikki;2009;6;4562
Tikkurilan kirjasto;musiikki;2009;7;4593
Tikkurilan kirjasto;musiikki;2009;8;4995
Tikkurilan kirjasto;musiikki;2009;9;5441
Tikkurilan kirjasto;musiikki;2009;10;5493
Tikkurilan kirjasto;musiikki;2009;11;5382
Tikkurilan kirjasto;musiikki;2009;12;4428
Tikkurilan kirjasto;lapset;2009;1;11844
Tikkurilan kirjasto;lapset;2009;2;11724
Tikkurilan kirjasto;lapset;2009;3;13653
Tikkurilan kirjasto;lapset;2009;4;11602
Tikkurilan kirjasto;lapset;2009;5;13200
Tikkurilan kirjasto;lapset;2009;6;12139
Tikkurilan kirjasto;lapset;2009;7;13236
Tikkurilan kirjasto;lapset;2009;8;13817
Tikkurilan kirjasto;lapset;2009;9;13570
Tikkurilan kirjasto;lapset;2009;10;15342
Tikkurilan kirjasto;lapset;2009;11;13219
Tikkurilan kirjasto;lapset;2009;12;10918
Hakunilan kirjasto;;2010;1;12045
Hakunilan kirjasto;;2010;2;12290
Hakunilan kirjasto;;2010;3;14661
Hakunilan kirjasto;;2010;4;10821
Hakunilan kirjasto;;2010;5;10450
Hakunilan kirjasto;;2010;6;8982
Hakunilan kirjasto;;2010;7;8038
Hakunilan kirjasto;;2010;8;14523
Hakunilan kirjasto;;2010;9;11004
Hakunilan kirjasto;;2010;10;11076
Hakunilan kirjasto;;2010;11;11230
Hakunilan kirjasto;;2010;12;9872
Hiekkaharjun kirjasto;;2010;1;410
Hiekkaharjun kirjasto;;2010;2;408
Hiekkaharjun kirjasto;;2010;3;509
Hiekkaharjun kirjasto;;2010;4;424
Hiekkaharjun kirjasto;;2010;5;388
Hiekkaharjun kirjasto;;2010;6;0
Hiekkaharjun kirjasto;;2010;7;0
Hiekkaharjun kirjasto;;2010;8;447
Hiekkaharjun kirjasto;;2010;9;470
Hiekkaharjun kirjasto;;2010;10;467
Hiekkaharjun kirjasto;;2010;11;423
Hiekkaharjun kirjasto;;2010;12;344
Pähkinärinteen kirjasto;;2010;1;3048
Pähkinärinteen kirjasto;;2010;2;3022
Pähkinärinteen kirjasto;;2010;3;3766
Pähkinärinteen kirjasto;;2010;4;3138
Pähkinärinteen kirjasto;;2010;5;2870
Pähkinärinteen kirjasto;;2010;6;2536
Pähkinärinteen kirjasto;;2010;7;0
Pähkinärinteen kirjasto;;2010;8;3306
Pähkinärinteen kirjasto;;2010;9;3476
Pähkinärinteen kirjasto;;2010;10;3460
Pähkinärinteen kirjasto;;2010;11;3128
Pähkinärinteen kirjasto;;2010;12;2544
Kirjastoautot;;2010;1;5253
Kirjastoautot;;2010;2;5207
Kirjastoautot;;2010;3;6490
Kirjastoautot;;2010;4;5407
Kirjastoautot;;2010;5;4946
Kirjastoautot;;2010;6;4370
Kirjastoautot;;2010;7;0
Kirjastoautot;;2010;8;5698
Kirjastoautot;;2010;9;5990
Kirjastoautot;;2010;10;5962
Kirjastoautot;;2010;11;5391
Kirjastoautot;;2010;12;4384
Koivukylän kirjasto;;2010;1;12488
Koivukylän kirjasto;;2010;2;12389
Koivukylän kirjasto;;2010;3;14140
Koivukylän kirjasto;;2010;4;10486
Koivukylän kirjasto;;2010;5;11791
Koivukylän kirjasto;;2010;6;9126
Koivukylän kirjasto;;2010;7;7967
Koivukylän kirjasto;;2010;8;10802
Koivukylän kirjasto;;2010;9;13093
Koivukylän kirjasto;;2010;10;14777
Koivukylän kirjasto;;2010;11;12803
Koivukylän kirjasto;;2010;12;15202
Lumon kirjasto (Korso);;2010;1;18850
Lumon kirjasto (Korso);;2010;2;18117
Lumon kirjasto (Korso);;2010;3;21222
Lumon kirjasto (Korso);;2010;4;18753
Lumon kirjasto (Korso);;2010;5;15416
Lumon kirjasto (Korso);;2010;6;13183
Lumon kirjasto (Korso);;2010;7;11107
Lumon kirjasto (Korso);;2010;8;18184
Lumon kirjasto (Korso);;2010;9;21209
Lumon kirjasto (Korso);;2010;10;20745
Lumon kirjasto (Korso);;2010;11;19174
Lumon kirjasto (Korso);;2010;12;14727
Länsimäen kirjasto;;2010;1;5535
Länsimäen kirjasto;;2010;2;5410
Länsimäen kirjasto;;2010;3;6624
Länsimäen kirjasto;;2010;4;5672
Länsimäen kirjasto;;2010;5;5617
Länsimäen kirjasto;;2010;6;4546
Länsimäen kirjasto;;2010;7;3865
Länsimäen kirjasto;;2010;8;6333
Länsimäen kirjasto;;2010;9;6905
Länsimäen kirjasto;;2010;10;7567
Länsimäen kirjasto;;2010;11;6374
Länsimäen kirjasto;;2010;12;5377
Martinlaakson kirjasto;;2010;1;11520
Martinlaakson kirjasto;;2010;2;10395
Martinlaakson kirjasto;;2010;3;16659
Martinlaakson kirjasto;;2010;4;10815
Martinlaakson kirjasto;;2010;5;10276
Martinlaakson kirjasto;;2010;6;8720
Martinlaakson kirjasto;;2010;7;8471
Martinlaakson kirjasto;;2010;8;10254
Martinlaakson kirjasto;;2010;9;11060
Martinlaakson kirjasto;;2010;10;11124
Martinlaakson kirjasto;;2010;11;10519
Martinlaakson kirjasto;;2010;12;8852
Mikkolan kirjasto;;2010;1;3953
Mikkolan kirjasto;;2010;2;3953
Mikkolan kirjasto;;2010;3;3953
Mikkolan kirjasto;;2010;4;4731
Mikkolan kirjasto;;2010;5;3879
Mikkolan kirjasto;;2010;6;2125
Mikkolan kirjasto;;2010;7;311
Mikkolan kirjasto;;2010;8;2437
Mikkolan kirjasto;;2010;9;4347
Mikkolan kirjasto;;2010;10;4759
Mikkolan kirjasto;;2010;11;4759
Mikkolan kirjasto;;2010;12;4761
Myyrmäen kirjasto;;2010;1;29441
Myyrmäen kirjasto;;2010;2;29716
Myyrmäen kirjasto;;2010;3;35658
Myyrmäen kirjasto;;2010;4;32619
Myyrmäen kirjasto;;2010;5;24582
Myyrmäen kirjasto;;2010;6;24236
