Havaintoasema;Päivä.Kuukausi.Vuosi Aika [Paikallinen aika];Keskituulen nopeus [m/s]
Helsinki-Vantaan lentoasema;19.12.2022 02:07;4.4
Helsinki-Vantaan lentoasema;19.12.2022 02:08;4.3
Helsinki-Vantaan lentoasema;19.12.2022 02:09;4.4
Helsinki-Vantaan lentoasema;19.12.2022 02:10;4.4
Helsinki-Vantaan lentoasema;19.12.2022 02:11;4.4
Helsinki-Vantaan lentoasema;19.12.2022 02:12;4.5
Helsinki-Vantaan lentoasema;19.12.2022 02:13;4.6
Helsinki-Vantaan lentoasema;19.12.2022 02:14;4.7
Helsinki-Vantaan lentoasema;19.12.2022 02:15;4.8
Helsinki-Vantaan lentoasema;19.12.2022 02:16;4.9
Helsinki-Vantaan lentoasema;19.12.2022 02:17;4.9
Helsinki-Vantaan lentoasema;19.12.2022 02:18;4.9
Helsinki-Vantaan lentoasema;19.12.2022 02:19;5.1
Helsinki-Vantaan lentoasema;19.12.2022 02:20;5.1
Helsinki-Vantaan lentoasema;19.12.2022 02:21;5.2
Helsinki-Vantaan lentoasema;19.12.2022 02:22;5.3
Helsinki-Vantaan lentoasema;19.12.2022 02:23;5.3
Helsinki-Vantaan lentoasema;19.12.2022 02:24;5.4
Helsinki-Vantaan lentoasema;19.12.2022 02:25;5.3
Helsinki-Vantaan lentoasema;19.12.2022 02:26;5.3
Helsinki-Vantaan lentoasema;19.12.2022 02:27;5.3
Helsinki-Vantaan lentoasema;19.12.2022 02:28;5.4
Helsinki-Vantaan lentoasema;19.12.2022 02:29;5.3
Helsinki-Vantaan lentoasema;19.12.2022 02:30;5.3
Helsinki-Vantaan lentoasema;19.12.2022 02:31;5.3
Helsinki-Vantaan lentoasema;19.12.2022 02:32;5.3
Helsinki-Vantaan lentoasema;19.12.2022 02:33;5.4
Helsinki-Vantaan lentoasema;19.12.2022 02:34;5.2
Helsinki-Vantaan lentoasema;19.12.2022 02:35;5.3
Helsinki-Vantaan lentoasema;19.12.2022 02:36;5.4
Helsinki-Vantaan lentoasema;19.12.2022 02:37;5.5
Helsinki-Vantaan lentoasema;19.12.2022 02:38;5.5
Helsinki-Vantaan lentoasema;19.12.2022 02:39;5.5
Helsinki-Vantaan lentoasema;19.12.2022 02:40;5.5
Helsinki-Vantaan lentoasema;19.12.2022 02:41;5.6
Helsinki-Vantaan lentoasema;19.12.2022 02:42;5.5
Helsinki-Vantaan lentoasema;19.12.2022 02:43;5.5
Helsinki-Vantaan lentoasema;19.12.2022 02:44;5.6
Helsinki-Vantaan lentoasema;19.12.2022 02:45;5.5
Helsinki-Vantaan lentoasema;19.12.2022 02:46;5.4
Helsinki-Vantaan lentoasema;19.12.2022 02:47;5.3
Helsinki-Vantaan lentoasema;19.12.2022 02:48;5.2
Helsinki-Vantaan lentoasema;19.12.2022 02:49;5.2
Helsinki-Vantaan lentoasema;19.12.2022 02:50;5.2
Helsinki-Vantaan lentoasema;19.12.2022 02:51;5
Helsinki-Vantaan lentoasema;19.12.2022 02:52;5.1
Helsinki-Vantaan lentoasema;19.12.2022 02:53;5.1
Helsinki-Vantaan lentoasema;19.12.2022 02:54;5.1
Helsinki-Vantaan lentoasema;19.12.2022 02:55;5.1
Helsinki-Vantaan lentoasema;19.12.2022 02:56;5.1
Helsinki-Vantaan lentoasema;19.12.2022 02:57;5.2
Helsinki-Vantaan lentoasema;19.12.2022 02:58;5.1
Helsinki-Vantaan lentoasema;19.12.2022 02:59;5.1
Helsinki-Vantaan lentoasema;19.12.2022 03:00;5
Helsinki-Vantaan lentoasema;19.12.2022 03:01;4.9
Helsinki-Vantaan lentoasema;19.12.2022 03:02;4.8
Helsinki-Vantaan lentoasema;19.12.2022 03:03;4.9
Helsinki-Vantaan lentoasema;19.12.2022 03:04;4.8
Helsinki-Vantaan lentoasema;19.12.2022 03:05;4.7
Helsinki-Vantaan lentoasema;19.12.2022 03:06;4.7
Helsinki-Vantaan lentoasema;19.12.2022 03:07;4.6
Helsinki-Vantaan lentoasema;19.12.2022 03:08;4.6
Helsinki-Vantaan lentoasema;19.12.2022 03:09;4.6
Helsinki-Vantaan lentoasema;19.12.2022 03:10;4.6
Helsinki-Vantaan lentoasema;19.12.2022 03:11;4.5
Helsinki-Vantaan lentoasema;19.12.2022 03:12;4.4
Helsinki-Vantaan lentoasema;19.12.2022 03:13;4.2
Helsinki-Vantaan lentoasema;19.12.2022 03:14;4.1
Helsinki-Vantaan lentoasema;19.12.2022 03:15;4
Helsinki-Vantaan lentoasema;19.12.2022 03:16;3.9
Helsinki-Vantaan lentoasema;19.12.2022 03:17;3.8
Helsinki-Vantaan lentoasema;19.12.2022 03:18;3.7
Helsinki-Vantaan lentoasema;19.12.2022 03:19;3.7
Helsinki-Vantaan lentoasema;19.12.2022 03:20;3.7
Helsinki-Vantaan lentoasema;19.12.2022 03:21;3.8
Helsinki-Vantaan lentoasema;19.12.2022 03:22;3.8
Helsinki-Vantaan lentoasema;19.12.2022 03:23;3.9
Helsinki-Vantaan lentoasema;19.12.2022 03:24;3.9
Helsinki-Vantaan lentoasema;19.12.2022 03:25;4
Helsinki-Vantaan lentoasema;19.12.2022 03:26;4.1
Helsinki-Vantaan lentoasema;19.12.2022 03:27;4.2
Helsinki-Vantaan lentoasema;19.12.2022 03:28;4.2
Helsinki-Vantaan lentoasema;19.12.2022 03:29;4.2
Helsinki-Vantaan lentoasema;19.12.2022 03:30;4.2
Helsinki-Vantaan lentoasema;19.12.2022 03:31;4.3
Helsinki-Vantaan lentoasema;19.12.2022 03:32;4.4
Helsinki-Vantaan lentoasema;19.12.2022 03:33;4.4
Helsinki-Vantaan lentoasema;19.12.2022 03:34;4.5
Helsinki-Vantaan lentoasema;19.12.2022 03:35;4.6
Helsinki-Vantaan lentoasema;19.12.2022 03:36;4.7
Helsinki-Vantaan lentoasema;19.12.2022 03:37;4.7
Helsinki-Vantaan lentoasema;19.12.2022 03:38;4.8
Helsinki-Vantaan lentoasema;19.12.2022 03:39;4.7
Helsinki-Vantaan lentoasema;19.12.2022 03:40;4.7
Helsinki-Vantaan lentoasema;19.12.2022 03:41;4.7
Helsinki-Vantaan lentoasema;19.12.2022 03:42;4.6
Helsinki-Vantaan lentoasema;19.12.2022 03:43;4.6
Helsinki-Vantaan lentoasema;19.12.2022 03:44;4.4
Helsinki-Vantaan lentoasema;19.12.2022 03:45;4.3
Helsinki-Vantaan lentoasema;19.12.2022 03:46;4.1
Helsinki-Vantaan lentoasema;19.12.2022 03:47;4
Helsinki-Vantaan lentoasema;19.12.2022 03:48;3.9
Helsinki-Vantaan lentoasema;19.12.2022 03:49;3.9
Helsinki-Vantaan lentoasema;19.12.2022 03:50;3.9
Helsinki-Vantaan lentoasema;19.12.2022 03:51;3.8
Helsinki-Vantaan lentoasema;19.12.2022 03:52;3.7
Helsinki-Vantaan lentoasema;19.12.2022 03:53;3.7
Helsinki-Vantaan lentoasema;19.12.2022 03:54;3.7
Helsinki-Vantaan lentoasema;19.12.2022 03:55;3.8
Helsinki-Vantaan lentoasema;19.12.2022 03:56;3.9
Helsinki-Vantaan lentoasema;19.12.2022 03:57;4.1
Helsinki-Vantaan lentoasema;19.12.2022 03:58;4.2
Helsinki-Vantaan lentoasema;19.12.2022 03:59;4.2
Helsinki-Vantaan lentoasema;19.12.2022 04:00;4.2
Helsinki-Vantaan lentoasema;19.12.2022 04:01;4.4
Helsinki-Vantaan lentoasema;19.12.2022 04:02;4.5
Helsinki-Vantaan lentoasema;19.12.2022 04:03;4.5
Helsinki-Vantaan lentoasema;19.12.2022 04:04;4.5
Helsinki-Vantaan lentoasema;19.12.2022 04:05;4.5
Helsinki-Vantaan lentoasema;19.12.2022 04:06;4.6
Helsinki-Vantaan lentoasema;19.12.2022 04:07;4.6
Helsinki-Vantaan lentoasema;19.12.2022 04:08;4.7
Helsinki-Vantaan lentoasema;19.12.2022 04:09;4.8
Helsinki-Vantaan lentoasema;19.12.2022 04:10;4.8
Helsinki-Vantaan lentoasema;19.12.2022 04:11;4.8
Helsinki-Vantaan lentoasema;19.12.2022 04:12;4.8
Helsinki-Vantaan lentoasema;19.12.2022 04:13;4.8
Helsinki-Vantaan lentoasema;19.12.2022 04:14;4.8
Helsinki-Vantaan lentoasema;19.12.2022 04:15;4.7
Helsinki-Vantaan lentoasema;19.12.2022 04:16;4.6
Helsinki-Vantaan lentoasema;19.12.2022 04:17;4.5
Helsinki-Vantaan lentoasema;19.12.2022 04:18;4.4
Helsinki-Vantaan lentoasema;19.12.2022 04:19;4.4
Helsinki-Vantaan lentoasema;19.12.2022 04:20;4.3
Helsinki-Vantaan lentoasema;19.12.2022 04:21;4.2
Helsinki-Vantaan lentoasema;19.12.2022 04:22;4.4
Helsinki-Vantaan lentoasema;19.12.2022 04:23;4.4
Helsinki-Vantaan lentoasema;19.12.2022 04:24;4.4
Helsinki-Vantaan lentoasema;19.12.2022 04:25;4.4
Helsinki-Vantaan lentoasema;19.12.2022 04:26;4.5
Helsinki-Vantaan lentoasema;19.12.2022 04:27;4.7
Helsinki-Vantaan lentoasema;19.12.2022 04:28;4.7
Helsinki-Vantaan lentoasema;19.12.2022 04:29;4.8
Helsinki-Vantaan lentoasema;19.12.2022 04:30;5
Helsinki-Vantaan lentoasema;19.12.2022 04:31;5.1
Helsinki-Vantaan lentoasema;19.12.2022 04:32;5.1
Helsinki-Vantaan lentoasema;19.12.2022 04:33;5.2
Helsinki-Vantaan lentoasema;19.12.2022 04:34;5.3
Helsinki-Vantaan lentoasema;19.12.2022 04:35;5.4
Helsinki-Vantaan lentoasema;19.12.2022 04:36;5.4
Helsinki-Vantaan lentoasema;19.12.2022 04:37;5.3
Helsinki-Vantaan lentoasema;19.12.2022 04:38;5.4
Helsinki-Vantaan lentoasema;19.12.2022 04:39;5.4
Helsinki-Vantaan lentoasema;19.12.2022 04:40;5.2
Helsinki-Vantaan lentoasema;19.12.2022 04:41;5.2
Helsinki-Vantaan lentoasema;19.12.2022 04:42;5.1
Helsinki-Vantaan lentoasema;19.12.2022 04:43;5.2
Helsinki-Vantaan lentoasema;19.12.2022 04:44;5.2
Helsinki-Vantaan lentoasema;19.12.2022 04:45;5.2
Helsinki-Vantaan lentoasema;19.12.2022 04:46;5.2
Helsinki-Vantaan lentoasema;19.12.2022 04:47;5.3
Helsinki-Vantaan lentoasema;19.12.2022 04:48;5.3
Helsinki-Vantaan lentoasema;19.12.2022 04:49;5.4
Helsinki-Vantaan lentoasema;19.12.2022 04:50;5.5
Helsinki-Vantaan lentoasema;19.12.2022 04:51;5.5
Helsinki-Vantaan lentoasema;19.12.2022 04:52;5.5
Helsinki-Vantaan lentoasema;19.12.2022 04:53;5.5
Helsinki-Vantaan lentoasema;19.12.2022 04:54;5.4
Helsinki-Vantaan lentoasema;19.12.2022 04:55;5.4
Helsinki-Vantaan lentoasema;19.12.2022 04:56;5.3
Helsinki-Vantaan lentoasema;19.12.2022 04:57;5.2
Helsinki-Vantaan lentoasema;19.12.2022 04:58;5
Helsinki-Vantaan lentoasema;19.12.2022 04:59;5
Helsinki-Vantaan lentoasema;19.12.2022 05:00;5
Helsinki-Vantaan lentoasema;19.12.2022 05:01;4.9
Helsinki-Vantaan lentoasema;19.12.2022 05:02;4.8
Helsinki-Vantaan lentoasema;19.12.2022 05:03;4.8
Helsinki-Vantaan lentoasema;19.12.2022 05:04;4.8
Helsinki-Vantaan lentoasema;19.12.2022 05:05;4.7
Helsinki-Vantaan lentoasema;19.12.2022 05:06;4.7
Helsinki-Vantaan lentoasema;19.12.2022 05:07;4.7
Helsinki-Vantaan lentoasema;19.12.2022 05:08;4.8
Helsinki-Vantaan lentoasema;19.12.2022 05:09;4.8
Helsinki-Vantaan lentoasema;19.12.2022 05:10;4.7
Helsinki-Vantaan lentoasema;19.12.2022 05:11;4.7
Helsinki-Vantaan lentoasema;19.12.2022 05:12;4.7
Helsinki-Vantaan lentoasema;19.12.2022 05:13;4.7
Helsinki-Vantaan lentoasema;19.12.2022 05:14;4.8
Helsinki-Vantaan lentoasema;19.12.2022 05:15;4.8
Helsinki-Vantaan lentoasema;19.12.2022 05:16;4.8
Helsinki-Vantaan lentoasema;19.12.2022 05:17;4.8
Helsinki-Vantaan lentoasema;19.12.2022 05:18;4.7
Helsinki-Vantaan lentoasema;19.12.2022 05:19;4.6
Helsinki-Vantaan lentoasema;19.12.2022 05:20;4.6
Helsinki-Vantaan lentoasema;19.12.2022 05:21;4.6
Helsinki-Vantaan lentoasema;19.12.2022 05:22;4.7
Helsinki-Vantaan lentoasema;19.12.2022 05:23;4.7
Helsinki-Vantaan lentoasema;19.12.2022 05:24;4.6
Helsinki-Vantaan lentoasema;19.12.2022 05:25;4.6
Helsinki-Vantaan lentoasema;19.12.2022 05:26;4.7
Helsinki-Vantaan lentoasema;19.12.2022 05:27;4.9
Helsinki-Vantaan lentoasema;19.12.2022 05:28;5
Helsinki-Vantaan lentoasema;19.12.2022 05:29;5.1
Helsinki-Vantaan lentoasema;19.12.2022 05:30;5.1
Helsinki-Vantaan lentoasema;19.12.2022 05:31;5.1
Helsinki-Vantaan lentoasema;19.12.2022 05:32;5.1
Helsinki-Vantaan lentoasema;19.12.2022 05:33;5
Helsinki-Vantaan lentoasema;19.12.2022 05:34;5.1
Helsinki-Vantaan lentoasema;19.12.2022 05:35;5.1
Helsinki-Vantaan lentoasema;19.12.2022 05:36;5.1
Helsinki-Vantaan lentoasema;19.12.2022 05:37;5.1
Helsinki-Vantaan lentoasema;19.12.2022 05:38;5
Helsinki-Vantaan lentoasema;19.12.2022 05:39;4.9
Helsinki-Vantaan lentoasema;19.12.2022 05:40;4.9
Helsinki-Vantaan lentoasema;19.12.2022 05:41;5.1
Helsinki-Vantaan lentoasema;19.12.2022 05:42;5.2
Helsinki-Vantaan lentoasema;19.12.2022 05:43;5.3
Helsinki-Vantaan lentoasema;19.12.2022 05:44;5.4
Helsinki-Vantaan lentoasema;19.12.2022 05:45;5.6
Helsinki-Vantaan lentoasema;19.12.2022 05:46;5.6
Helsinki-Vantaan lentoasema;19.12.2022 05:47;5.6
Helsinki-Vantaan lentoasema;19.12.2022 05:48;5.8
Helsinki-Vantaan lentoasema;19.12.2022 05:49;5.9
Helsinki-Vantaan lentoasema;19.12.2022 05:50;6
Helsinki-Vantaan lentoasema;19.12.2022 05:51;6.1
Helsinki-Vantaan lentoasema;19.12.2022 05:52;6.1
Helsinki-Vantaan lentoasema;19.12.2022 05:53;6.1
Helsinki-Vantaan lentoasema;19.12.2022 05:54;6.1
Helsinki-Vantaan lentoasema;19.12.2022 05:55;6
Helsinki-Vantaan lentoasema;19.12.2022 05:56;6
Helsinki-Vantaan lentoasema;19.12.2022 05:57;6
Helsinki-Vantaan lentoasema;19.12.2022 05:58;5.9
Helsinki-Vantaan lentoasema;19.12.2022 05:59;5.7
Helsinki-Vantaan lentoasema;19.12.2022 06:00;5.6
Helsinki-Vantaan lentoasema;19.12.2022 06:01;5.4
Helsinki-Vantaan lentoasema;19.12.2022 06:02;5.3
Helsinki-Vantaan lentoasema;19.12.2022 06:03;5.2
Helsinki-Vantaan lentoasema;19.12.2022 06:04;5
Helsinki-Vantaan lentoasema;19.12.2022 06:05;4.9
Helsinki-Vantaan lentoasema;19.12.2022 06:06;4.8
Helsinki-Vantaan lentoasema;19.12.2022 06:07;4.8
Helsinki-Vantaan lentoasema;19.12.2022 06:08;4.7
Helsinki-Vantaan lentoasema;19.12.2022 06:09;4.6
Helsinki-Vantaan lentoasema;19.12.2022 06:10;4.5
Helsinki-Vantaan lentoasema;19.12.2022 06:11;4.6
Helsinki-Vantaan lentoasema;19.12.2022 06:12;4.6
Helsinki-Vantaan lentoasema;19.12.2022 06:13;4.5
Helsinki-Vantaan lentoasema;19.12.2022 06:14;4.5
Helsinki-Vantaan lentoasema;19.12.2022 06:15;4.4
Helsinki-Vantaan lentoasema;19.12.2022 06:16;4.4
Helsinki-Vantaan lentoasema;19.12.2022 06:17;4.3
Helsinki-Vantaan lentoasema;19.12.2022 06:18;4.4
Helsinki-Vantaan lentoasema;19.12.2022 06:19;4.5
Helsinki-Vantaan lentoasema;19.12.2022 06:20;4.6
Helsinki-Vantaan lentoasema;19.12.2022 06:21;4.6
Helsinki-Vantaan lentoasema;19.12.2022 06:22;4.5
Helsinki-Vantaan lentoasema;19.12.2022 06:23;4.5
Helsinki-Vantaan lentoasema;19.12.2022 06:24;4.4
Helsinki-Vantaan lentoasema;19.12.2022 06:25;4.4
Helsinki-Vantaan lentoasema;19.12.2022 06:26;4.3
Helsinki-Vantaan lentoasema;19.12.2022 06:27;4.2
Helsinki-Vantaan lentoasema;19.12.2022 06:28;4.2
Helsinki-Vantaan lentoasema;19.12.2022 06:29;4.1
Helsinki-Vantaan lentoasema;19.12.2022 06:30;4.1
Helsinki-Vantaan lentoasema;19.12.2022 06:31;4.2
Helsinki-Vantaan lentoasema;19.12.2022 06:32;4.2
Helsinki-Vantaan lentoasema;19.12.2022 06:33;4.2
Helsinki-Vantaan lentoasema;19.12.2022 06:34;4.2
Helsinki-Vantaan lentoasema;19.12.2022 06:35;4.2
Helsinki-Vantaan lentoasema;19.12.2022 06:36;4.2
Helsinki-Vantaan lentoasema;19.12.2022 06:37;4.2
Helsinki-Vantaan lentoasema;19.12.2022 06:38;4.2
Helsinki-Vantaan lentoasema;19.12.2022 06:39;4.2
Helsinki-Vantaan lentoasema;19.12.2022 06:40;4.2
Helsinki-Vantaan lentoasema;19.12.2022 06:41;4.2
Helsinki-Vantaan lentoasema;19.12.2022 06:42;4.1
Helsinki-Vantaan lentoasema;19.12.2022 06:43;4.1
Helsinki-Vantaan lentoasema;19.12.2022 06:44;4.2
Helsinki-Vantaan lentoasema;19.12.2022 06:45;4.2
Helsinki-Vantaan lentoasema;19.12.2022 06:46;4.2
Helsinki-Vantaan lentoasema;19.12.2022 06:47;4.3
Helsinki-Vantaan lentoasema;19.12.2022 06:48;4.3
Helsinki-Vantaan lentoasema;19.12.2022 06:49;4.2
Helsinki-Vantaan lentoasema;19.12.2022 06:50;4.1
Helsinki-Vantaan lentoasema;19.12.2022 06:51;4.1
Helsinki-Vantaan lentoasema;19.12.2022 06:52;4.1
Helsinki-Vantaan lentoasema;19.12.2022 06:53;4
Helsinki-Vantaan lentoasema;19.12.2022 06:54;4
Helsinki-Vantaan lentoasema;19.12.2022 06:55;4
Helsinki-Vantaan lentoasema;19.12.2022 06:56;3.9
Helsinki-Vantaan lentoasema;19.12.2022 06:57;3.8
Helsinki-Vantaan lentoasema;19.12.2022 06:58;3.8
Helsinki-Vantaan lentoasema;19.12.2022 06:59;3.7
Helsinki-Vantaan lentoasema;19.12.2022 07:00;3.8
Helsinki-Vantaan lentoasema;19.12.2022 07:01;3.8
Helsinki-Vantaan lentoasema;19.12.2022 07:02;3.8
Helsinki-Vantaan lentoasema;19.12.2022 07:03;3.8
Helsinki-Vantaan lentoasema;19.12.2022 07:04;3.8
Helsinki-Vantaan lentoasema;19.12.2022 07:05;3.8
Helsinki-Vantaan lentoasema;19.12.2022 07:06;3.8
Helsinki-Vantaan lentoasema;19.12.2022 07:07;3.8
Helsinki-Vantaan lentoasema;19.12.2022 07:08;3.8
Helsinki-Vantaan lentoasema;19.12.2022 07:09;3.8
Helsinki-Vantaan lentoasema;19.12.2022 07:10;3.8
Helsinki-Vantaan lentoasema;19.12.2022 07:11;3.7
Helsinki-Vantaan lentoasema;19.12.2022 07:12;3.6
Helsinki-Vantaan lentoasema;19.12.2022 07:13;3.6
Helsinki-Vantaan lentoasema;19.12.2022 07:14;3.6
