Aikaleima;20€ setelien määrä
30.11.2019;3983967
31.12.2019;4190485
31.1.2020;3950839
29.2.2020;3953242
31.3.2020;4070161
30.4.2020;4151466
31.5.2020;4259296
30.6.2020;4287023
31.7.2020;4349155
31.8.2020;4333562
30.9.2020;4300279
31.10.2020;4300965
30.11.2020;4306830
31.12.2020;4498521
31.1.2021;4361216
28.2.2021;4354607
31.3.2021;4403933
30.4.2021;4413358
31.5.2021;4473797
30.6.2021;4497783
31.7.2021;4582710
31.8.2021;4565548
30.9.2021;4544182
31.10.2021;4554501
30.11.2021;4527104
31.12.2021;4646582
31.1.2022;4528468
28.2.2022;4516238
31.3.2022;4569466
30.4.2022;4638174
31.5.2022;4664884
30.6.2022;4713095
31.7.2022;4783496
31.8.2022;4757329
30.9.2022;4725513
31.10.2022;4721503
30.11.2022;4677397
31.12.2022;4805243
31.1.2023;4686949
28.2.2023;4660635
31.3.2023;4680376
30.4.2023;4756367
31.5.2023;4772189
30.6.2023;4792932
31.7.2023;4836834
